List of words in the text with their # of appearances followed by their respective frequency rank if they are top1000:

menalcas, 19 appearances, rank: ---
dico, 6 appearances, rank: 33
ego, 23 appearances, rank: 11
damoeta, 1 appearances, rank: ---
cujus, 1 appearances, rank: ---
pecus, 7 appearances, rank: 566
an, 2 appearances, rank: 94
meliboei, 1 appearances, rank: ---
damoetas, 19 appearances, rank: ---
non, 14 appearances, rank: 6
uerus, 2 appearances, rank: ---
aegonis, 1 appearances, rank: ---
nuper, 2 appearances, rank: ---
ego, 23 appearances, rank: 11
trado, 1 appearances, rank: 297
aego, 1 appearances, rank: ---
-ne, 8 appearances, rank: ---
menalcas, 19 appearances, rank: ---
infelix, 1 appearances, rank: ---
o, 3 appearances, rank: ---
semper, 2 appearances, rank: 149
ouis, 4 appearances, rank: ---
pecus, 7 appearances, rank: 566
ipse, 9 appearances, rank: 22
neaeram, 1 appearances, rank: ---
dum, 2 appearances, rank: 103
foveo, 1 appearances, rank: ---
atque, 3 appearances, rank: 35
ne, 2 appearances, rank: 238
ego, 23 appearances, rank: 11
sui, 4 appearances, rank: 17
praefero, 1 appearances, rank: ---
ille, 10 appearances, rank: 8
vereor, 1 appearances, rank: 884
hic, 7 appearances, rank: 7
alienus, 1 appearances, rank: 367
ouis, 4 appearances, rank: ---
custos, 1 appearances, rank: 622
bis, 3 appearances, rank: ---
mulgeo, 2 appearances, rank: ---
in, 11 appearances, rank: 5
hora, 1 appearances, rank: 664
et, 28 appearances, rank: 1
sucus, 1 appearances, rank: ---
pecus, 7 appearances, rank: 566
et, 28 appearances, rank: 1
lac, 2 appearances, rank: ---
subduco, 1 appearances, rank: ---
agnus, 2 appearances, rank: ---
damoetas, 19 appearances, rank: ---
parcus, 1 appearances, rank: ---
iste, 1 appearances, rank: 81
uir, 1 appearances, rank: ---
tamen, 1 appearances, rank: 58
obicio, 1 appearances, rank: ---
memento, 1 appearances, rank: ---
nosco, 2 appearances, rank: 347
et, 28 appearances, rank: 1
qui, 19 appearances, rank: 3
tu, 16 appearances, rank: 9
transverto, 1 appearances, rank: ---
tueor, 2 appearances, rank: ---
hircis, 1 appearances, rank: ---
et, 28 appearances, rank: 1
quo—sed, 1 appearances, rank: ---
facilis, 2 appearances, rank: 451
nympha, 1 appearances, rank: ---
risere—sacello, 1 appearances, rank: ---
menalcas, 19 appearances, rank: ---
tum, 1 appearances, rank: 56
credo, 2 appearances, rank: 109
cum, 8 appearances, rank: 10
ego, 23 appearances, rank: 11
arbustus, 1 appearances, rank: ---
